mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error,data,,,,,,,,,
0.28,785.75,0,23.1675252,25.9164,5.090815259,0.893933,0.0399774,4.667296535,1.201458572,399.0474477,599.066,24.47582481,0.666116,0.0515247,34.90794762,1.087478188,235.8885879,759.048,27.55082576,0.310769,0.0136576,13.44532867,1.05699864,575.976,575.976,23.99949999,0.958812,0.136655,82.00469901,1.142375201,2.99956,1.731923786,1,0,1.731923786,1.577392613,76.9266,8.770781037,1,0,8.770781037,1.114014932,2050.52,,228.037,0.432236,228.037,228.037,1.111209352,71.5524,8.458865172,1,0,8.458865172,1.118219168,3199,,,,,,,,,
0.29,785.551,0,23.16817311,25.9164,5.090815259,0.893958,0.039978,4.667424082,1.201458443,402.524644,597.866,24.45129853,0.673269,0.0521027,35.23289415,1.087529782,235.0290152,753.064,27.44201159,0.312097,0.0137903,13.46104114,1.057273955,571.089,571.089,23.89746849,0.911149,0.133005,79.01699087,1.138361956,2.99956,1.731923786,1,0,1.731923786,1.577392613,76.7669,8.761672215,1,0,8.761672215,1.114133464,2050.55,,228.04,0.434791,228.04,228.04,1.111209188,70.9068,8.420617555,1,0,8.420617555,1.118756136,3180,,,,,,,,,
0.3,785.547,0,23.16843228,25.9164,5.090815259,0.893968,0.0399782,4.667474871,1.201458382,403.9265112,595.029,24.39321627,0.678835,0.0528932,35.5633016,1.08804399,231.982738,749.17,27.37097002,0.309653,0.0137811,13.35766114,1.05758041,568.746,568.746,23.84839617,0.88777,0.132663,78.36571599,1.137786843,2.99956,1.731923786,1,0,1.731923786,1.577392613,76.4839,8.745507418,1,0,8.745507418,1.114344423,2050.56,,228.042,0.437583,228.042,228.042,1.111209621,70.8316,8.416151139,1,0,8.416151139,1.118819159,3153,,,,,,,,,
0.31,784.943,0,23.17677736,25.9164,5.090815259,0.89429,0.0399861,4.669118667,1.201456768,403.7535072,591.071,24.31195179,0.683088,0.0536573,35.8002483,1.088668575,227.6164269,744.689,27.28899045,0.305653,0.0137762,13.22189127,1.058088476,565.366,565.366,23.77742627,0.86867,0.132497,77.70470525,1.137441419,2.96481,1.721862364,1,0,1.721862364,1.580766512,75.3368,8.679677413,1,0,8.679677413,1.115211655,2050.93,,228.083,0.440286,228.083,228.083,1.111209549,70.2467,8.381330443,1,0,8.381330443,1.1193128,3128,,,,,,,,,
0.32,783.296,0,23.48868123,25.9164,5.090815259,0.906325,0.0403314,4.730847227,1.201409657,399.3983042,585.823,24.2037807,0.681773,0.0540092,35.68442128,1.08934545,224.3706543,741.807,27.23613409,0.302465,0.0138149,13.14859533,1.058602117,562.267,562.267,23.71216987,0.868617,0.134652,78.46202243,1.139545843,2.96481,1.721862364,1,0,1.721862364,1.580766512,74.0492,8.605184484,1,0,8.605184484,1.116209014,2062.04,,229.273,0.443841,229.273,229.273,1.111187465,70.2467,8.381330443,1,0,8.381330443,1.1193128,3103,,,,,,,,,
0.33,782.101,0,23.21366237,25.904,5.089597234,0.896142,0.0401484,4.678070806,1.201522307,397.927982,581.966,24.12397148,0.683765,0.0544565,35.7276001,1.089784086,222.1655732,737.205,27.15151929,0.301362,0.0138089,13.06079861,1.05878858,558.312,558.312,23.62862671,0.806086,0.132336,76.30030948,1.136662492,2.96481,1.721862364,1,0,1.721862364,1.580766512,73.8848,8.595626795,1,0,8.595626795,1.116338229,2035.63,,227.738,0.442626,227.738,227.738,1.11187593,69.6658,8.3466041,1,0,8.3466041,1.119809205,3078,,,,,,,,,
0.34,778.289,0,23.16677751,25.9007,5.089273033,0.894446,0.0401107,4.669125692,1.20154403,388.1294225,577.995,24.04152657,0.67151,0.0542003,35.24266158,1.090801314,219.8674633,732.374,27.06240935,0.300212,0.0138684,13.0064817,1.059156009,554.295,554.295,23.54347043,0.778157,0.130396,74.56359056,1.134519688,2.96481,1.721862364,1,0,1.721862364,1.580766512,72.1247,8.492626213,1,0,8.492626213,1.117749207,2021.53,,227.453,0.441453,227.453,227.453,1.112515273,69.5848,8.341750416,1,0,8.341750416,1.119878916,3047,,,,,,,,,
0.35,777.876,0,22.47842275,25.7104,5.070542377,0.874293,0.0396284,4.548714925,1.202359168,380.1413288,573.858,23.95533344,0.662431,0.0539969,34.81355871,1.091580568,221.7627055,723.745,26.90250918,0.30641,0.0138477,12.97670514,1.058516174,548.306,548.306,23.41593475,0.781011,0.132919,75.13980749,1.137039915,2.96481,1.721862364,1,0,1.721862364,1.580766512,71.8738,8.477841706,1,0,8.477841706,1.11795455,1974.2,,224.632,0.435583,224.632,224.632,1.113783811,69.4745,8.335136472,1,0,8.335136472,1.11997404,3008,,,,,,,,,
0.36,776.987,0,22.24721573,25.6815,5.067691782,0.866274,0.0397483,4.507128683,1.202592933,374.1070916,569.321,23.86044845,0.657111,0.0545463,34.78796906,1.092989333,219.0126068,717.827,26.79229367,0.305105,0.0138525,12.87241165,1.058774752,545.418,545.418,23.35418592,0.765433,0.134302,75.40041692,1.13824336,2.96481,1.721862364,1,0,1.721862364,1.580766512,71.0591,8.429655983,1,0,8.429655983,1.118628803,1950.63,,221.952,0.439845,221.952,221.952,1.113784777,69.4745,8.335136472,1,0,8.335136472,1.11997404,2966,,,,,,,,,
0.37,776.737,0,21.99197571,25.681,5.06764245,0.856352,0.0395765,4.457114354,1.202670029,367.496072,564.944,23.76855065,0.6505,0.0548915,34.65133431,1.094290353,218.3498905,714.269,26.72581149,0.305697,0.0139427,12.88127977,1.058993754,541.214,541.214,23.26400653,0.768402,0.138287,76.94809311,1.142176834,2.96481,1.721862364,1,0,1.721862364,1.580766512,70.7727,8.412651187,1,0,8.412651187,1.118868592,1924.04,,220.073,0.440486,220.073,220.073,1.114380678,69.439,8.33300666,1,0,8.33300666,1.120004704,2924,,,,,,,,,
