MC weights file
mva_cut value,signal count,error,zll count,error,mc weight,error, enu count, error, mc weight,error,munu count,error, mc weight,error,taunu count, error,mc weight,error,top count,error,mc weight,error,VV count, error, mc weight, error,znunu count,error,mc weight,error,qcd count,error, mc weight, error
output>0.45,248.732,0,0.624488,,0.217279,0.0835939,39.0644,,0.675106,0.279243,30.2196,,0.360748,0.0371203,-7.66899,,-0.111667,0.28041,0,,1,0,3.02646,,1,0,7.3428,,0.0591743,0.472389,4.41826,,1,0
output>0.46,237.298,0,0.513056,,0.195294,0.0800108,30.1416,,0.561356,0.251428,25.8851,,0.343857,0.0371434,-4.74221,,-0.076069,0.229388,0,,1,0,2.93071,,1,0,5.66957,,0.052219,0.452141,4.11721,,1,0
output>0.47,222.572,0,0.452617,,0.172288,0.0759636,21.8807,,0.442188,0.220993,24.0999,,0.358759,0.0394964,-3.86769,,-0.0694762,0.221985,0,,1,0,2.93071,,1,0,4.4228,,0.0452637,0.42927,3.64352,,1,0
output>0.48,209.394,0,0.468576,,0.178363,0.0787669,16.113,,0.359898,0.212566,20.6426,,0.335718,0.039992,-2.46779,,-0.0490849,0.186738,0,,1,0,1.04488,,1,0,3.99355,,0.0452637,0.445111,3.27135,,1,0
output>0.49,192.061,0,0.588338,,0.22395,0.100066,17.2211,,0.405662,0.243533,19.9924,,0.345267,0.0422645,-2.56312,,-0.0542589,0.198755,0,,1,0,0.97383,,1,0,3.49533,,0.0452637,0.565471,2.23947,,1,0
output>0.5,180.642,0,0.705758,,0.268646,0.121393,19.5389,,0.473237,0.290751,18.7832,,0.33514,0.042641,-2.88968,,-0.0699627,0.237506,0,,1,0,0.906333,,1,0,3.26435,,0.0452637,0.685993,2.23947,,1,0
output>0.51,168.427,0,0.763701,,0.290702,0.132079,14.8642,,0.41234,0.287717,17.851,,0.332381,0.0429726,-2.938,,-0.0727689,0.24254,0,,1,0,0.883301,,1,0,3.07712,,0.0452637,0.746376,2.23947,,1,0
output>0.52,159.194,0,0.720013,,0.29163,0.132531,15.8577,,0.48478,0.346664,15.261,,0.319223,0.0431934,-2.66087,,-0.0797428,0.262865,0,,1,0,0.814716,,1,0,2.66516,,0.0452637,0.74893,2.23947,,1,0
output>0.53,151.547,0,0.769809,,0.311799,0.139794,16.3463,,0.586198,0.433011,13.3336,,0.308832,0.0437355,-2.60662,,-0.0894846,0.284293,0,,1,0,0.70658,,1,0,2.12429,,0.0417317,0.789974,1.45155,,1,0
output>0.54,145.79,0,0.551629,,0.263883,0.12789,15.9122,,0.629922,0.471568,10.9245,,0.286048,0.0438071,-5.79849,,-0.227888,0.887868,0,,1,0,0.70658,,1,0,1.65937,,0.0347764,0.722705,0.98354,,1,0
output>0.55,139.811,0,0.403816,,0.30091,0.147347,13.088,,0.657612,0.496391,8.89036,,0.255813,0.0423939,-5.92055,,-0.256522,0.952918,0,,1,0,0.623525,,1,0,1.57886,,0.0347764,0.832655,0.98354,,1,0
output>0.56,132.496,0,0.403816,,0.30091,0.147347,16.4674,,0.861293,0.688296,8.24913,,0.24986,0.0427646,-4.61526,,-0.245766,0.948305,0,,1,0,0.553062,,1,0,1.35857,,0.0347764,0.832655,0.98354,,1,0
output>0.57,125.431,0,0.25633,,0.240728,0.129586,16.5131,,0.903582,0.730127,6.89085,,0.2577,0.044667,-3.72783,,-0.222807,0.952295,0,,1,0,0.487877,,1,0,1.00791,,0.0278211,0.732291,0.98354,,1,0
output>0.58,110.993,0,0.192271,,0.240728,0.129586,16.3903,,0.93699,0.76364,5.21649,,0.2345,0.0434592,0,,0,6.80192e-158,0,,1,0,0.359651,,1,0,0.931903,,0.0278211,0.732291,0.98354,,1,0
output>0.59,103.041,0,0.198959,,0.249102,0.134414,16.544,,1.004,0.832088,4.28453,,0.22735,0.0438018,0,,0,7.65826e-158,0,,1,0,0.262276,,1,0,0.819894,,0.0278211,0.759571,0.807766,,1,0
output>0.6,98.0075,0,0.0929362,,0.197228,0.121064,16.7419,,1.04952,0.879502,4.00317,,0.224932,0.0445514,0,,0,1.35127e-157,0,,1,0,0.262276,,1,0,0.555545,,0.0208658,0.684132,0.807766,,1,0
output>0.61,91.7025,0,0.35473,,1.15551,0.885992,16.3363,,1.13839,0.97417,3.71527,,0.215719,0.0460094,0,,0,1.41665e-157,0,,1,0,0.262276,,1,0,0.479725,,0.0208658,5.00674,0.807766,,1,0
output>0.62,87.0912,0,0.236488,,0.770342,0.669168,15.4537,,1.22758,1.05781,3.39821,,0.216113,0.0478728,0,,0,1.96595e-157,0,,1,0,0.262276,,1,0,0.259294,,0.0139106,3.78147,0.807766,,1,0
output>0.63,79.3223,0,0.124672,,0.406111,0.457378,16.2682,,1.31765,1.15815,3.03303,,0.202105,0.0466293,0,,0,1.17112e-157,0,,1,0,0.111995,,1,0,0.125237,,0.00695528,2.58464,0.807766,,1,0
output>0.64,72.6133,0,0.175942,,0.57312,0.67297,14.3362,,1.3606,1.20692,2.59222,,0.179589,0.0462728,0,,0,1.15276e-157,0,,1,0,0.0891888,,1,0,0.121058,,0.00695528,3.80295,0.807766,,1,0
output>0.65,69.4563,0,0.175942,,0.57312,0.67297,14.5954,,1.43625,1.29428,2.19746,,0.165507,0.0457584,0,,0,3.15729e-157,0,,1,0,0.0891888,,1,0,0.0960211,,0.00695528,3.80295,0.807766,,1,0
output>0.66,63.7087,0,0,,0,2.37623e-158,18.4419,,1.90847,1.87914,1.85612,,0.167243,0.0465586,0,,0,2.92532e-157,0,,1,0,0.0891888,,1,0,0,,0,1.34281e-157,0.807766,,1,0
output>0.67,60.4698,0,0,,0,1.40308e-157,18.5798,,2.01033,2.01379,1.39002,,0.161266,0.0498753,0,,0,1.51104e-157,0,,1,0,0.0891888,,1,0,0,,0,7.92881e-157,0.807766,,1,0
output>0.68,55.8529,0,0,,0,2.38106e-157,18.9709,,2.15453,2.20932,1.34667,,0.230615,0.0760841,0,,0,2.56426e-157,0,,1,0,0.0891888,,1,0,0,,0,1.34553e-156,0.369817,,1,0
output>0.69,49.7844,0,0,,0,1513,10.7906,,1.57898,1.79302,1.07424,,0.235834,0.0814783,0,,0,2.43151e-157,0,,1,0,0.0891888,,1,0,0,,0,8549.96,0.369817,,1,0
output>0.7,39.5679,0,0,,0,1513,6.82551,,1.70478,1.98253,0.561944,,0.234337,0.0845393,0,,0,1.76421e-157,0,,1,0,0.056199,,1,0,0,,0,8549.96,0.369817,,1,0
output>0.71,32.9975,0,0,,0,1513,3.59805,,0.991984,1.40006,0.444337,,0.215096,0.0862479,0,,0,2.66388e-157,0,,1,0,0.056199,,1,0,0,,0,8549.96,0.369817,,1,0
output>0.72,27.0854,0,0,,0,1513,3.48849,,1.08145,1.56023,0.726194,,0.405766,0.145056,0,,0,1.92391e-157,0,,1,0,0.056199,,1,0,0,,0,8549.96,0,,1,0
output>0.73,19.6989,0,0,,0,1513,2.78919,,1.21381,1.80602,1.07399,,0.731564,0.320886,0,,0,2.8734e-157,0,,1,0,0.056199,,1,0,0,,0,8549.96,0,,1,0
output>0.74,16.0931,0,0,,0,1513,9.54989,,5.16974,12.8411,0.592616,,0.481094,0.26184,0,,0,3.19834e-157,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
output>0.75,10.897,0,0,,0,1513,9.85871,,6.87754,19.3032,0.631658,,0.55836,0.348513,0,,0,5.29456e-157,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
output>0.76,6.74805,0,0,,0,1513,10.8411,,8.99368,28.4315,0.379394,,0.729752,0.554123,0,,0,5.05154e-157,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
output>0.77,4.14048,0,0,,0,1513,5.75635,,11.0181,38.1966,0.244791,,0.758677,0.711434,0,,0,9.45629e-157,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
output>0.78,1.69335,0,0,,0,1513,0,,0,2.09769e-157,0.123863,,0.636038,0.813542,0,,0,5.03693e-157,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
output>0.79,1.69335,0,0,,0,1513,0,,0,2.96574e-157,0,,0,2.45943e-158,0,,0,9.90124e-157,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
output>0.8,1.30339,0,0,,0,1513,0,,0,5.60325e-157,0,,0,5.8767e-158,0,,0,1000,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
output>0.81,0.660629,0,0,,0,1513,0,,0,1.9061e-156,0,,0,3.85663e-157,0,,0,1000,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
output>0.82,0,0,0,,0,1513,0,,0,1.90521e-156,0,,0,1000,0,,0,1000,0,,1,0,0,,1,0,0,,0,8549.96,0,,1,0
