mva_cut value,signal count,error,zll count,unweighted count,error,mc weight,error,combined error,formatted error, enu count,unweighted count, error, mc weight,error,combined error,formatted error,munu count,unweighted count,error, mc weight,error,combined error,formatted error,taunu count,unweighted count, error,mc weight,error,combined error,formatted error,top count,error,mc weight,error,combined error,formatted error,VV count, error, mc weight, error,combined error,formatted error,znunu count,unweighted count,error,mc weight,error,combined error,formatted error,qcd count,error, mc weight, error,combined error,formatted error,data,,,,,,,,,
0.2,683.509,0,14.34177936,15.7874,3.97333613,0.908432,0.0506259,3.696935758,1.257773855,227.3565608,381.545,19.5331769,0.595884,0.0787245,32.21328705,1.1416862,136.3174107,495.779,22.2660953,0.274956,0.0153286,9.758851338,1.071589178,378.787,,0,0.766805,0.330933,0,0,1.83337,1.354019941,1,0,1.354019941,1.73854156,41.1903,6.417966968,1,0,6.417966968,1.155812581,1258.26,,183.152,,183.152,183.152,1.145559741,39.6452,6.296443441,1,0,6.296443441,1.158819818,1882,,,,,,,,,
0.21,665.801,0,14.68054755,15.142,3.891272286,0.969525,0.0531738,3.85764653,1.26277266,226.3542857,368.118,19.18640143,0.614896,0.0845752,33.29397428,1.14708789,127.2433338,479.16,21.88972362,0.265555,0.015533,9.443794811,1.074218386,367.603,,0,0.692855,0.311382,0,0,1.82794,1.352013314,1,0,1.352013314,1.739637687,37.9704,6.162012658,1,0,6.162012658,1.162284639,1257.04,,185.967,,185.967,185.967,1.1479404,37.9936,6.163894873,1,0,6.163894873,1.162235084,1806,,,,,,,,,
0.22,658.112,0,13.94409165,14.5697,3.817027639,0.957061,0.0535687,3.735571597,1.267896374,216.6690419,358.501,18.93412264,0.604375,0.0868912,33.18596265,1.153164302,122.8499297,462.736,21.51129936,0.265486,0.0159217,9.321782965,1.075879433,352.047,,0,0.644722,0.304466,0,0,1.51736,1.231811674,1,0,1.231811674,1.811812407,31.8653,5.644935784,1,0,5.644935784,1.177149934,1232.39,,182.273,,182.273,182.273,1.147902044,35.6441,5.970268001,1,0,5.970268001,1.167496668,1722,,,,,,,,,
0.23,652.323,0,13.17876236,13.6673,3.69693116,0.964255,0.0545359,3.641874078,1.276344165,198.868839,341.336,18.47528078,0.582619,0.0887456,32.14769284,1.161652741,121.2913044,449.089,21.19172008,0.270083,0.0160004,9.186491113,1.075739074,337.968,,0,0.685456,0.328265,0,0,1.51736,1.231811674,1,0,1.231811674,1.811812407,30.1237,5.488506172,1,0,5.488506172,1.182198939,1220.46,,179.555,,179.555,179.555,1.147120758,34.0887,5.838552903,1,0,5.838552903,1.171275317,1656,,,,,,,,,
0.24,632.57,0,12.04379812,13.1891,3.631680052,0.913163,0.0533421,3.390119662,1.281482604,190.8307734,325.617,18.04486076,0.586059,0.0910934,31.4904146,1.165017487,118.1900047,431.697,20.77731937,0.27378,0.0163695,9.071703266,1.076755249,323.87,,0,0.852611,0.396567,0,0,1.51736,1.231811674,1,0,1.231811674,1.811812407,29.6933,5.449155898,1,0,5.449155898,1.183514661,1143.06,,173.869,,173.869,173.869,1.152108376,32.0011,5.656951476,1,0,5.656951476,1.176773657,1584,,,,,,,,,
0.25,623.256,0,11.27152829,13.1241,3.622719973,0.858842,0.0526869,3.187254319,1.282770378,172.1398149,314.157,17.7244746,0.547942,0.0904442,30.02764997,1.174437564,118.7837481,400.459,20.01147171,0.296619,0.0164265,8.860329527,1.074592103,309.138,,0,0.77865,0.400853,0,0,0.771106,0.878126415,1,0,0.878126415,2.138788201,27.8477,5.277092002,1,0,5.277092002,1.189498307,1061.55,,162.939,,162.939,162.939,1.153491592,31.4945,5.61199608,1,0,5.61199608,1.178189718,1483,,,,,,,,,
0.26,611.561,0,12.52286034,12.8838,3.589401064,0.971985,0.057894,3.567687113,1.284893947,162.8527676,302.621,17.39600529,0.538141,0.0923489,29.47298275,1.180979318,112.1409777,379.479,19.48022074,0.295513,0.016905,8.619311369,1.07686139,293.37,,0,0.832872,0.421321,0,0,0.771106,0.878126415,1,0,0.878126415,2.138788201,26.1306,5.111809856,1,0,5.111809856,1.19562543,1050.13,,168.935,,168.935,168.935,1.160870559,29.5628,5.437168381,1,0,5.437168381,1.183919263,1402,,,,,,,,,
0.27,595.976,0,11.70609897,12.2712,3.503027262,0.953949,0.0589802,3.419188033,1.292086035,155.0109603,282.243,16.80008929,0.549211,0.0968621,28.85369112,1.186139684,102.1281287,355.774,18.86197233,0.287059,0.0168389,8.075084894,1.079068176,280.961,,0,0.868346,0.437794,0,0,0.724585,0.851225587,1,0,0.851225587,2.174776716,25.547,5.05440402,1,0,5.05440402,1.197847263,987.738,,163.064,,163.064,163.064,1.165088313,26.4946,5.147290549,1,0,5.147290549,1.194276968,1315,,,,,,,,,
0.28,576.977,0,10.39686575,11.215,3.34888041,0.92705,0.0594723,3.175417953,1.305420694,153.1867215,264.029,16.2489692,0.580189,0.107176,29.8266632,1.194707889,95.2704881,332.581,18.23680345,0.286458,0.0173905,7.793763928,1.081806697,265.319,,0,0.531576,0.357683,0,0,0.724585,0.851225587,1,0,0.851225587,2.174776716,23.8037,4.878903565,1,0,4.878903565,1.204964084,940.084,,157.26,,157.26,157.26,1.167282924,24.736,4.973529934,1,0,4.973529934,1.201064438,1231,,,,,,,,,
0.29,563.188,0,9.047292658,10.5044,3.241049213,0.861286,0.0580349,2.857261844,1.315814018,149.5438532,242.358,15.56785149,0.617037,0.1211,30.88155435,1.206505006,88.42232008,314.128,17.72365651,0.281485,0.0174333,7.4080553,1.083780377,247.171,,0,0.752981,0.580069,0,0,0.724585,0.851225587,1,0,0.851225587,2.174776716,21.3666,4.622401973,1,0,4.622401973,1.216337741,844.524,,149.271,,149.271,149.271,1.176751638,24.381,4.937712021,1,0,4.937712021,1.202522949,1138,,,,,,,,,
0.3,549.337,0,9.576249698,10.0056,3.163162974,0.957089,0.0627333,3.091813519,1.322862667,124.2666593,224.576,14.98586,0.553339,0.117893,27.74413274,1.223262884,81.62100891,297.938,17.26088063,0.273953,0.0177968,7.104587358,1.087043611,226.161,,0,0.645435,0.57591,0,0,0.674361,0.821194861,1,0,0.821194861,2.217737771,20.1424,4.48802852,1,0,4.48802852,1.222814983,846.639,,153.805,,153.805,153.805,1.181665385,22.7826,4.773112192,1,0,4.773112192,1.209506913,1037,,,,,,,,,
0.31,527.63,0,8.065679154,9.42933,3.070721414,0.855382,0.0596608,2.686207747,1.333041731,118.6907375,210.969,14.52477194,0.562598,0.1254,27.6887941,1.233285214,77.00707179,278.799,16.69727523,0.27621,0.0181397,6.844465812,1.088881003,210.535,,0,0.683175,0.596982,0,0,0.674361,0.821194861,1,0,0.821194861,2.217737771,18.6808,4.322129105,1,0,4.322129105,1.231367452,728.533,,143.947,,143.947,143.947,1.197584735,19.6121,4.428555069,1,0,4.428555069,1.225807286,949,,,,,,,,,
0.32,507.075,0,7.188259252,8.64388,2.940047619,0.831601,0.0608017,2.500795799,1.347900056,108.2495398,192.471,13.8733918,0.56242,0.131228,26.43534141,1.244207425,73.76611019,258.627,16.08188422,0.285222,0.0188887,6.701058965,1.090841973,198.179,,0,0.572185,0.608448,0,0,0.674361,0.821194861,1,0,0.821194861,2.217737771,16.7771,4.09598584,1,0,4.09598584,1.244141469,657.263,,138.145,,138.145,138.145,1.210182225,17.6797,4.204723534,1,0,4.204723534,1.237827765,853,,,,,,,,,
0.33,475.891,0,5.764554803,7.92904,2.81585511,0.727018,0.0576009,2.097505212,1.363862481,98.07778046,176.135,13.27158619,0.556833,0.141319,25.96508965,1.264739776,69.73956019,240.463,15.50686945,0.290022,0.0191881,6.443233811,1.09238994,183.549,,0,0.642516,0.620137,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,15.8305,3.978756087,1,0,3.978756087,1.251334834,565.633,,125.452,,125.452,125.452,1.221790454,16.1959,4.024413001,1,0,4.024413001,1.248483443,781,,,,,,,,,
0.34,450.058,0,5.24801117,7.61325,2.759211844,0.689326,0.0583069,1.953110904,1.372162109,86.97658093,161.662,12.71463723,0.538015,0.147394,24.79049636,1.285024958,64.18544637,220.971,14.86509334,0.29047,0.0201308,6.199316428,1.096584456,162.665,,0,0.808421,0.79592,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,13.3725,3.656842901,1,0,3.656842901,1.273459929,518.113,,117.828,,117.828,117.828,1.227417571,15.104,3.886386496,1,0,3.886386496,1.257308428,704,,,,,,,,,
0.35,430.513,0,4.706995902,6.86037,2.619230803,0.686114,0.0611064,1.8453387,1.392041705,86.78633253,146.504,12.10388367,0.592382,0.164546,25.15036977,1.289796435,57.40921323,201.356,14.18999648,0.285113,0.0208507,5.830505067,1.101560442,152.917,,0,1.02808,1.03681,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,10.4036,3.225461207,1,0,3.225461207,1.310033182,456.224,,111.158,,111.158,111.158,1.243647857,14.404,3.795260202,1,0,3.795260202,1.263486546,627,,,,,,,,,
0.36,410.174,0,3.359876858,5.8075,2.409875515,0.578541,0.0614438,1.439151709,1.428334659,90.83664858,129.182,11.36582597,0.703168,0.190692,25.89799407,1.285105125,51.6648486,185.378,13.61535897,0.2787,0.0212576,5.470652776,1.105887328,144.689,,0,1.12676,1.12616,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,8.93093,2.988466162,1,0,2.988466162,1.334619817,372.137,,93.4705,,93.4705,93.4705,1.251172283,12.9007,3.591754446,1,0,3.591754446,1.278415469,571,,,,,,,,,
0.37,392.116,0,2.887206619,5.25563,2.292516085,0.549355,0.062308,1.301282655,1.450706453,90.67236736,122.239,11.05617475,0.741763,0.217329,27.80312922,1.306632881,48.49143195,173.55,13.17383771,0.279409,0.0223353,5.345519326,1.110236368,129.097,,0,0.592748,0.846088,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,7.64464,2.764894211,1,0,2.764894211,1.361677491,317.5,,88.4844,,88.4844,88.4844,1.278691024,9.02103,3.003502955,1,0,3.003502955,1.33294457,513,,,,,,,,,
0.38,368.833,0,2.16767474,4.96903,2.229132118,0.436237,0.0583464,1.014729737,1.468119002,69.28768287,114.916,10.71988806,0.602942,0.19429,23.24376705,1.335467519,43.66545779,160.385,12.66431996,0.272254,0.0225558,4.997520586,1.114450205,116.845,,0,0.256641,0.694768,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,7.49315,2.737361869,1,0,2.737361869,1.365315237,248.875,,74.4192,,74.4192,74.4192,1.299022401,7.26364,2.695114098,1,0,2.695114098,1.371041805,468,,,,,,,,,0
0.39,352.439,0,2.055048554,4.64423,2.155047563,0.442495,0.0613659,0.995274938,1.484307262,80.53361904,106.12,10.30145621,0.758892,0.230934,25.72344169,1.319412464,41.35748776,143.009,11.95863705,0.289195,0.0247841,4.952049175,1.119737669,108.968,,0,0.542841993,0.621425291,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,6.99012,2.643883507,1,0,2.643883507,1.378231491,231.016,,72.3558,,72.3558,72.3558,1.313206877,6.38323,2.526505492,1,0,2.526505492,1.395803612,422,,,,,,,,,
0.4,334.364,0,1.906863777,4.03775,2.009415338,0.472259,0.0661709,0.985859809,1.517005892,78.1277942,101.524,10.07591187,0.76955,0.241533,25.71812824,1.329180268,38.40615434,129.046,11.35984155,0.297616,0.0271775,4.87138284,1.1268386,102.512,,0,0.531369847,0.627762732,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,6.87353,2.621741787,1,0,2.621741787,1.381425816,219.211,,71.6446,,71.6446,71.6446,1.326829402,6.14277,2.478461216,1,0,2.478461216,1.403476154,375,,,,,,,,,
0.41,314.853,0,1.58043476,3.67584,1.917248028,0.429952,0.0651665,0.858423716,1.543156692,64.11573697,91.0797,9.543568515,0.703952,0.234719,22.40890681,1.349507124,38.75758157,123.514,11.11368526,0.313791,0.0293861,5.033461867,1.129870381,96.3921,,0,0.520140147,0.633880372,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,6.07222,2.464187493,1,0,2.464187493,1.405813276,192.961,,66.6843,,66.6843,66.6843,1.345584341,5.84038,2.416687816,1,0,2.416687816,1.413789482,343,,,,,,,,,
0.42,293.571,0,1.626243078,3.67584,1.917248028,0.442414,0.0685973,0.884903209,1.54413957,61.61411322,84.0257,9.166553333,0.733277,0.261776,23.00000742,1.373291219,37.69616848,106.707,10.32990803,0.353268,0.0322049,5.012614252,1.132974105,86.6978,,0,0.50914777,0.639783234,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,5.85331,2.419361486,1,0,2.419361486,1.413332198,189.074,,65.3416,,65.3416,65.3416,1.345587442,5.54601,2.354996815,1,0,2.354996815,1.424629024,315,,,,,,,,,
0.43,277.14,0,1.70291602,3.44995,1.857404103,0.493606,0.0752296,0.952853464,1.559542252,54.30399611,74.3653,8.623531759,0.730233,0.27084,21.10256839,1.388600654,34.55394509,96.305,9.813511094,0.358797,0.0345798,4.846455896,1.140257672,81.9866,,0,0.4983877,0.645476236,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,5.55189,2.356244894,1,0,2.356244894,1.424404103,182.626,,66.1412,,66.1412,66.1412,1.36216749,5.54601,2.354996815,1,0,2.354996815,1.424629024,293,,,,,,,,,
0.44,261.364,0,1.597600514,3.18946,1.785905933,0.5009,0.0783555,0.928813206,1.581380137,44.64286834,66.6398,8.163320403,0.669913,0.26354,18.39400893,1.412025697,32.0427778,89.98,9.485778829,0.35611,0.0360921,4.685877298,1.146238173,75.6178,,0,0.487855029,0.650964186,0,0,0.434254,0.658979514,1,0,0.658979514,2.517497856,3.12874,1.768824468,1,0,1.768824468,1.565347222,178.297,,64.5739,,64.5739,64.5739,1.362170424,5.54601,2.354996815,1,0,2.354996815,1.424629024,260,,,,,,,,,
0.45,248.732,0,1.456540105,2.87413,1.695325927,0.506776,0.0835939,0.892112274,1.612487271,39.06446861,57.8642,7.606852174,0.675106,0.279243,16.95462195,1.434016449,28.68135178,83.7693,9.15255702,0.342385,0.0372977,4.425150152,1.154286666,68.6774,,0,0.477544949,0.656251793,0,0,0,0,1,0,0,0,3.02646,1.739672383,1,0,1.739672383,1.574820874,169.66,,61.4469,,61.4469,61.4469,1.362176706,4.41826,2.101965747,1,0,2.101965747,1.475745146,230,,,,,,,,,
0.46,237.298,0,1.18156788,2.62709,1.620830034,0.449763,0.0800108,0.758688139,1.642102881,30.14156134,53.6942,7.327632633,0.561356,0.251428,14.1129809,1.468223286,24.59651983,75.2788,8.676335632,0.326739,0.037339,3.992171881,1.162306371,62.3409,,0,0.467452757,0.661343662,0,0,0,0,1,0,0,0,2.93071,1.711931658,1,0,1.711931658,1.584135468,147.834,,57.3879,,57.3879,57.3879,1.388191485,4.11721,2.029090929,1,0,2.029090929,1.492831536,211,,,,,,,,,
0.47,222.572,0,1.007123849,2.62709,1.620830034,0.383361,0.0759636,0.652623538,1.648007232,21.88070037,49.4828,7.034401183,0.442188,0.220993,11.36913874,1.519596656,23.04509555,67.1759,8.196090531,0.343056,0.0396667,3.873770522,1.168095225,55.6693,,0,0.457573848,0.6662443,0,0,0,0,1,0,0,0,2.93071,1.711931658,1,0,1.711931658,1.584135468,123.809,,52.0796,,52.0796,52.0796,1.420644703,3.64352,1.908800671,1,0,1.908800671,1.523889171,192,,,,,,,,,
0.48,209.394,0,1.065482027,2.62709,1.620830034,0.405575,0.0787669,0.689167585,1.646812962,16.11295737,44.7709,6.691106037,0.359898,0.212566,9.81671808,1.60924372,19.50989448,61.4878,7.841415689,0.317297,0.0402429,3.509034177,1.179859208,50.2759,,0,0.447903716,0.670958118,0,0,0,0,1,0,0,0,1.04488,1.022193719,1,0,1.022193719,1.978288147,126.522,,53.2209,,53.2209,53.2209,1.420645421,3.27135,1.808687369,1,0,1.808687369,1.552887147,173,,,,,,,,,
0.49,192.061,0,1.468590598,2.62709,1.620830034,0.559018,0.100066,0.943438248,1.642410655,17.22104153,42.4517,6.515496911,0.405662,0.243533,10.67090563,1.619643453,18.71252057,57.9041,7.609474358,0.323164,0.0425575,3.481344492,1.186043589,47.2386,,0,0.438437947,0.675489431,0,0,0,0,1,0,0,0,0.97383,0.986828253,1,0,0.986828253,2.013347558,138.891,,58.4247,,58.4247,58.4247,1.420651446,2.23947,1.496485884,1,0,1.496485884,1.668232164,156,,,,,,,,,
